Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Pauli-X error ,CNOT error ,Gate time (ns)
0,169.5601956174109,121.35187015127369,4.96228437952612,-0.3446254135384113,0.017200000000000104,0.025800000000000045,0.0086,5351.11111111111,0.0001472743043166709,0.0001472743043166709,0.0001472743043166709,0_1:0.008791704231220415,0_1:277.3333333333333
1,270.0581301418362,73.27480479799726,4.837876761108724,-0.34528384673896295,0.022299999999999986,0.0296,0.015000000000000013,5351.11111111111,0.00024321495110691876,0.00024321495110691876,0.00024321495110691876,1_2:0.011008131174087998; 1_0:0.008791704231220415,1_2:469.3333333333333; 1_0:312.88888888888886
2,146.2538324985202,26.07826032084568,5.037244834906873,-0.3425512844367907,0.02089999999999992,0.0306,0.011199999999999988,5351.11111111111,0.00023470941124518598,0.00023470941124518598,0.00023470941124518598,2_3:0.006953894207779587; 2_1:0.011008131174087998,2_3:355.55555555555554; 2_1:504.88888888888886
3,215.53799587189965,62.371051481660054,4.950965761211155,-0.34357839075695296,0.0131,0.0184,0.007800000000000029,5351.11111111111,0.00017062115422944812,0.00017062115422944812,0.00017062115422944812,3_4:0.005896124886023368; 3_2:0.006953894207779587,3_4:334.22222222222223; 3_2:391.1111111111111
4,99.82912600439828,29.500798617193976,5.065135476270746,-0.3421076389828771,0.030100000000000016,0.052200000000000024,0.008,5351.11111111111,0.0003794009434107547,0.0003794009434107547,0.0003794009434107547,4_3:0.005896124886023368,4_3:298.66666666666663
