Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Pauli-X error ,CNOT error ,Gate time (ns)
0,130.93851748046697,130.3416693788275,5.09021167265479,-0.33612300518216515,0.026899999999999924,0.0484,0.0054,6158.222222222222,0.0002286012655237084,0.0002286012655237084,0.0002286012655237084,0_1:0.02246233249163232,0_1:810.6666666666666
1,57.272511223328046,97.73769865836496,5.245521945309825,-0.316572131412737,0.025500000000000078,0.04400000000000004,0.007,6158.222222222222,0.00041069421452423114,0.00041069421452423114,0.00041069421452423114,1_3:0.009473324221119489; 1_2:0.009381618683288129; 1_0:0.02246233249163232,1_3:440.88888888888886; 1_2:419.55555555555554; 1_0:775.1111111111111
2,80.6285915112935,48.06924100353581,5.361497091020607,-0.3306274884584928,0.03370000000000006,0.058599999999999985,0.0088,6158.222222222222,0.00030848079120107235,0.00030848079120107235,0.00030848079120107235,2_1:0.009381618683288129,2_1:384
3,84.46915129327897,127.89572514042342,5.170320276421105,-0.33373922611368106,0.030399999999999983,0.05159999999999998,0.0092,6158.222222222222,0.00020155322805836452,0.00020155322805836452,0.00020155322805836452,3_4:0.008129342426662745; 3_1:0.009473324221119489,3_4:526.2222222222222; 3_1:405.3333333333333
4,66.99912240129197,59.41823214415501,5.258462185374993,-0.3313451432371279,0.016599999999999948,0.0252,0.008,6158.222222222222,0.0002763850052150132,0.0002763850052150132,0.0002763850052150132,4_3:0.008129342426662745,4_3:490.66666666666663
